file name,abstract,square,circle,starting x,starting y,height,width
circle (5).jpg,0,0,1,115,125,362,348
circle (6).jpg,0,0,1,105,131,344,309
circle (7).jpg,0,0,1,138,162,360,289
circle (8).jpg,0,0,1,217,81,307,75
circle (9).jpg,0,0,1,260,106,297,81
circle (10).jpg,0,0,1,261,107,293,85
circle (11).jpg,0,0,1,262,107,294,87
circle (12).jpg,0,0,1,258,103,299,92
circle (13).jpg,0,0,1,254,105,295,91
circle (14).jpg,0,0,1,237,105,298,95
circle (15).jpg,0,0,1,235,105,295,96
circle (16).jpg,0,0,1,231,103,299,95
circle (17).jpg,0,0,1,228,104,298,97
circle (18).jpg,0,0,1,220,104,302,102
circle (19).jpg,0,0,1,212,118,299,110
circle (20).jpg,0,0,1,209,118,301,114
circle (21).jpg,0,0,1,209,123,303,115
circle (22).jpg,0,0,1,210,125,299,113
circle (23).jpg,0,0,1,214,124,304,119
circle (24).jpg,0,0,1,218,123,307,123
circle (25).jpg,0,0,1,219,115,314,129
circle (26).jpg,0,0,1,209,107,318,139
circle (27).jpg,0,0,1,205,105,319,139
circle (28).jpg,0,0,1,205,101,321,143
circle (29).jpg,0,0,1,199,96,324,148
circle (30).jpg,0,0,1,197,97,320,153
circle (31).jpg,0,0,1,193,94,325,155
circle (32).jpg,0,0,1,195,91,328,155
circle (33).jpg,0,0,1,192,84,336,153
circle (34).jpg,0,0,1,184,81,345,155
circle (35).jpg,0,0,1,183,79,346,157
circle (36).jpg,0,0,1,175,76,348,158
circle (37).jpg,0,0,1,172,74,348,157
circle (38).jpg,0,0,1,156,67,356,168
circle (39).jpg,0,0,1,155,65,356,164
circle (40).jpg,0,0,1,146,57,359,168
circle (41).jpg,0,0,1,125,33,371,187
circle (42).jpg,0,0,1,114,25,374,197
circle (43).jpg,0,0,1,98,13,381,206
circle (44).jpg,0,0,1,93,13,378,210
circle (45).jpg,0,0,1,74,0,377,230
circle (46).jpg,0,0,1,61,0,366,240
circle (47).jpg,0,0,1,57,0,368,245
circle (48).jpg,0,0,1,53,0,371,247
circle (49).jpg,0,0,1,53,0,371,248
circle (50).jpg,0,0,1,54,0,367,248
circle (51).jpg,0,0,1,56,0,367,252
circle (52).jpg,0,0,1,52,0,368,261
circle (53).jpg,0,0,1,62,0,374,262
circle (54).jpg,0,0,1,78,25,370,260
circle (55).jpg,0,0,1,81,31,371,262
circle (56).jpg,0,0,1,94,44,361,266
circle (57).jpg,0,0,1,98,49,359,268
circle (58).jpg,0,0,1,102,52,359,265
circle (59).jpg,0,0,1,104,58,360,270
circle (60).jpg,0,0,1,100,66,356,278
circle (61).jpg,0,0,1,91,72,348,283
circle (62).jpg,0,0,1,84,73,350,289
circle (63).jpg,0,0,1,75,75,351,291
circle (64).jpg,0,0,1,70,72,351,297
circle (65).jpg,0,0,1,71,71,351,293
circle (66).jpg,0,0,1,55,67,357,307
circle (67).jpg,0,0,1,50,66,354,311
circle (68).jpg,0,0,1,35,62,364,318
circle (69).jpg,0,0,1,32,62,357,319
circle (70).jpg,0,0,1,28,62,362,319
circle (71).jpg,0,0,1,28,60,365,321
circle (72).jpg,0,0,1,27,56,364,324
circle (73).jpg,0,0,1,24,52,366,339
circle (74).jpg,0,0,1,24,55,363,340
circle (75).jpg,0,0,1,30,59,362,342
circle (76).jpg,0,0,1,37,60,366,342
circle (77).jpg,0,0,1,46,65,360,341
circle (78).jpg,0,0,1,50,65,362,348
circle (79).jpg,0,0,1,53,63,363,345
circle (80).jpg,0,0,1,101,74,335,320
circle (81).jpg,0,0,1,93,60,341,324
circle (82).jpg,0,0,1,92,51,337,325
circle (83).jpg,0,0,1,114,46,339,320
circle (84).jpg,0,0,1,119,45,342,318
circle (85).jpg,0,0,1,137,53,340,314
circle (86).jpg,0,0,1,163,78,325,302
circle (87).jpg,0,0,1,167,76,322,299
circle (88).jpg,0,0,1,173,81,319,297
circle (89).jpg,0,0,1,174,80,321,295
circle (90).jpg,0,0,1,176,82,322,294
circle (91).jpg,0,0,1,180,87,318,295
circle (92).jpg,0,0,1,183,85,318,291
circle (93).jpg,0,0,1,189,85,321,289
circle (94).jpg,0,0,1,187,82,321,294
circle (95).jpg,0,0,1,192,85,319,289
circle (96).jpg,0,0,1,195,81,324,284
circle (97).jpg,0,0,1,194,83,327,289
circle (98).jpg,0,0,1,196,77,332,286
circle (99).jpg,0,0,1,196,80,324,284
circle (100).jpg,0,0,1,188,81,324,285
circle (101).jpg,0,0,1,190,79,326,283
circle (102).jpg,0,0,1,194,79,330,281
circle (103).jpg,0,0,1,193,75,330,280
circle (104).jpg,0,0,1,192,72,335,277
circle (105).jpg,0,0,1,192,71,334,272
circle (106).jpg,0,0,1,191,72,334,271
circle (107).jpg,0,0,1,197,74,332,265
circle (108).jpg,0,0,1,197,76,329,263
circle (109).jpg,0,0,1,198,84,327,264
circle (110).jpg,0,0,1,201,88,324,257
circle (111).jpg,0,0,1,211,93,325,254
circle (112).jpg,0,0,1,214,92,326,248
circle (113).jpg,0,0,1,209,100,318,247
circle (114).jpg,0,0,1,207,104,315,241
circle (115).jpg,0,0,1,205,109,312,235
circle (116).jpg,0,0,1,205,114,314,232
circle (117).jpg,0,0,1,201,110,316,231
circle (118).jpg,0,0,1,196,111,310,231
square (1).jpg,0,1,0,222,126,247,61
square (2).jpg,0,1,0,211,105,263,62
square (3).jpg,0,1,0,163,80,264,102
square (4).jpg,0,1,0,194,25,299,146
square (5).jpg,0,1,0,142,65,281,163
square (6).jpg,0,1,0,142,10,302,154
square (7).jpg,0,1,0,148,0,301,167
square (8).jpg,0,1,0,152,30,289,176
square (9).jpg,0,1,0,170,25,305,187
square (10).jpg,0,1,0,159,27,295,198
square (11).jpg,0,1,0,134,39,288,208
square (12).jpg,0,1,0,134,42,288,205
square (13).jpg,0,1,0,132,48,282,207
square (14).jpg,0,1,0,127,49,284,210
square (15).jpg,0,1,0,128,51,283,208
square (16).jpg,0,1,0,126,54,284,209
square (17).jpg,0,1,0,117,84,275,223
square (18).jpg,0,1,0,163,34,304,240
square (19).jpg,0,1,0,94,40,284,274
square (20).jpg,0,1,0,95,63,271,274
square (21).jpg,0,1,0,145,14,297,274
square (22).jpg,0,1,0,76,45,271,299
square (23).jpg,0,1,0,83,68,267,294
square (24).jpg,0,1,0,155,43,296,298
square (25).jpg,0,1,0,148,92,259,301
square (26).jpg,0,1,0,187,76,263,300
square (27).jpg,0,1,0,193,71,266,305
square (28).jpg,0,1,0,124,55,276,309
square (29).jpg,0,1,0,181,71,260,308
square (30).jpg,0,1,0,142,85,273,310
square (31).jpg,0,1,0,161,63,280,306
square (32).jpg,0,1,0,204,61,279,311
square (33).jpg,0,1,0,173,20,306,307
square (34).jpg,0,1,0,263,27,302,303
square (35).jpg,0,1,0,246,40,304,290
square (36).jpg,0,1,0,259,29,303,288
square (37).jpg,0,1,0,275,46,310,277
square (38).jpg,0,1,0,267,20,316,261
square (39).jpg,0,1,0,241,15,334,257
square (40).jpg,0,1,0,266,140,288,249
square (41).jpg,0,1,0,258,129,283,249
square (42).jpg,0,1,0,233,122,293,267
square (43).jpg,0,1,0,158,137,279,300
square (44).jpg,0,1,0,211,130,293,297
square (45).jpg,0,1,0,120,123,297,315
square (46).jpg,0,1,0,108,130,278,306
square (47).jpg,0,1,0,96,127,276,305
square (48).jpg,0,1,0,83,108,287,276
square (49).jpg,0,1,0,98,129,286,297
square (50).jpg,0,1,0,54,113,296,287
square (51).jpg,0,1,0,232,117,310,260
square (52).jpg,0,1,0,219,109,286,249
square (53).jpg,0,1,0,213,102,283,216
square (54).jpg,0,1,0,236,106,308,219
square (55).jpg,0,1,0,312,105,289,168
square (56).jpg,0,1,0,318,123,266,129
square (57).jpg,0,1,0,294,127,273,109
square (58).jpg,0,1,0,287,274,270,62
square (59).jpg,0,1,0,240,286,277,76
square (60).jpg,0,1,0,208,303,264,107
square (61).jpg,0,1,0,177,262,265,130
square (62).jpg,0,1,0,171,290,267,148
square (63).jpg,0,1,0,158,289,264,166
square (64).jpg,0,1,0,161,265,259,178
square (65).jpg,0,1,0,143,302,278,198
square (66).jpg,0,1,0,115,289,274,226
square (67).jpg,0,1,0,117,251,266,233
square (68).jpg,0,1,0,116,271,291,256
square (69).jpg,0,1,0,80,280,288,275
square (70).jpg,0,1,0,107,250,273,278
square (71).jpg,0,1,0,118,241,275,282
square (72).jpg,0,1,0,109,266,299,312
square (73).jpg,0,1,0,82,260,298,324
square (74).jpg,0,1,0,100,256,284,319
square (75).jpg,0,1,0,163,280,287,325
square (76).jpg,0,1,0,122,240,276,311
square (77).jpg,0,1,0,165,257,278,334
square (78).jpg,0,1,0,209,244,263,314
square (79).jpg,0,1,0,308,222,263,218
